,mangroves,coral,seagrass,h_0_to_60,s_0_to_60,s_60_to_200,h_60_to_200,s_200_to_2000,h_200_to_2000,s_2000_p,h_2000_p,seamounts,pelagic,pelagic_deep
nutrients_f,1.8,1.8,2.1,1.6,2.0,1.4,1.7,2.0,0.6,1.3,0.0,0.0,1.2,0.0
pesticides_f,1.4,1.2,1.0,2.2,1.2,1.4,0.0,2.0,0.2,1.7,0.0,0.0,1.9,1.6
isa_f,0.5,0.7,0.8,2.2,1.5,2.1,0.2,2.1,0.2,1.8,0.0,0.0,2.3,1.6
pop_f,3.3,2.3,2.5,2.5,2.0,1.1,2.9,0.0,0.0,1.6,0.0,0.0,0.9,0.0
fish3_f,0.0,1.2,0.2,2.7,2.1,3.0,3.1,3.2,2.8,2.3,3.0,3.5,2.1,0.8
fish5_f,0.9,1.6,1.1,2.9,2.1,2.0,3.2,2.3,2.4,2.0,0.0,0.0,1.6,0.0
fish4_f,0.8,1.3,0.6,2.7,1.7,1.6,2.6,0.0,2.2,0.0,0.0,0.0,0.0,0.0
fish2_f,0.0,0.5,0.0,2.6,0.0,1.1,2.8,0.2,0.0,1.6,0.0,0.0,3.0,2.2
fish1_f,0.0,0.7,0.0,2.6,0.6,0.8,2.8,0.2,0.0,0.5,0.0,0.0,2.2,0.6
artisanal_f,1.7,2.3,0.3,2.2,0.0,0.9,1.9,0.0,0.4,0.3,0.0,0.9,1.0,0.0
sst_norm,2.4,2.8,2.1,1.9,0.5,2.5,2.9,2.3,0.9,2.5,1.5,1.8,3.3,2.3
uv_norm,0.2,0.8,0.5,0.7,0.3,1.9,1.8,0.0,0.0,1.3,0.0,0.0,1.5,0.0
invasives_f,1.0,1.5,1.2,2.5,2.7,1.6,1.5,0.2,0.5,1.5,0.0,0.0,2.3,0.0
pollution_f,1.2,1.2,0.5,1.7,1.1,1.2,0.3,1.4,1.7,2.3,1.2,1.2,1.7,0.4
shipping_f,2.0,1.5,1.9,1.4,0.3,1.7,0.9,0.1,1.0,0.9,0.0,0.0,1.9,0.0
flares_f,1.3,0.5,1.6,1.7,0.1,0.5,2.1,1.6,2.2,1.9,1.6,1.4,1.5,0.0
