,habitat_mgroves,habitat_coral,habitat_seagrass,habitat_h0to60,habitat_s0to60,habitat_s60to200,habitat_h60to200,habitat_s200to2000,habitat_h200to2000,habitat_s2000p,habitat_h2000p,habitat_seamounts,habitat_pelagic,habitat_pdeep
threat_fert,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_pest,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_impv,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_fish3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_fish5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_fish4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_fish2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_fish1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_artisanal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_sst,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_uv,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_invasives,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_flares,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat_acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
