,habitat_mgroves,habitat_coral,habitat_seagrass,habitat_h0to60,habitat_s0to60,habitat_s60to200,habitat_h60to200,habitat_s200to2000,habitat_h200to2000,habitat_s2000p,habitat_h2000p,habitat_seamounts,habitat_pelagic,habitat_pdeep
threat_fert,0.4,0.3,0.4,2.3,3.4,2.8,0.2,2.9,2.9,0.8,2.8,2.5,2.8,3.6
threat_pest,2.5,0.4,0.6,1.6,3,2.7,2.2,2.3,0.8,3.9,3.5,2.6,3.1,0.2
threat_impv,0.7,1.2,1.4,2.6,1.6,0.2,2.4,2.4,2.7,1.4,2.1,1.4,2.8,3.8
threat_pop,3.2,0.7,2.1,1,1.9,2.6,3.2,4,2.4,1.3,3,0.3,3.7,0
threat_fish3,3.7,1.9,2.7,2.1,3.4,1.9,1.1,1.6,1.7,2.4,0.2,0.7,2.2,2.9
threat_fish5,0.5,0.1,0.1,3.7,0.3,1,2.3,0.6,1.3,1.6,1.3,2.4,3.2,2.4
threat_fish4,1,3,3,3.7,1.4,1.7,2.8,2.3,3.5,0.6,1.2,3.7,2.7,2.5
threat_fish2,0.2,1.5,2.1,3.6,1.6,1.3,1.9,1.3,3,2.9,2.3,2.1,0.5,0.9
threat_fish1,2.4,2.4,2,2.7,2.9,0.2,2,1.7,2.5,0.5,3.3,3.1,1.8,0.5
threat_artisanal,0.3,3.3,2.7,2.6,1.4,0.6,3.3,0.7,2.6,3,3.6,3.2,1.7,2.6
threat_sst,3.2,1.8,2,2.8,0.7,3.6,1.5,2.2,3.3,3.5,2,2.1,0.5,0.8
threat_uv,0.4,3.4,2,0.8,1,1.8,3.8,3,3.3,3.7,1.2,1.5,3.9,0.6
threat_invasives,1.5,2,2.9,3,2.5,2.9,1.5,3.9,1.6,1.1,1.5,4,3.5,3.4
threat_pollution,0.7,1.1,2.9,2.1,1.5,0.8,2.1,3.7,1.3,0.5,2.5,1.3,2.5,0.9
threat_shipping,3.2,2.5,1.5,0.9,0.8,2.3,3.3,3,1.3,1.3,0.4,2,0,1.7
threat_flares,2.7,0.6,2.1,3.9,2.4,2.2,2.1,2.6,1.8,2.7,1.9,2.7,0.7,3.9
threat_acid,2.6,1.1,3.8,2.1,3.8,1.1,1.7,0.3,2.9,3.4,3.3,0.7,1,1.4
