,mangroves,coral,seagrass,h_0_to_60,s_0_to_60,s_60_to_200,h_60_to_200,s_200_to_2000,h_200_to_2000,s_2000_p,h_2000_p,seamounts,pelagic,pelagic_deep,,,,,,,,,,,
nutrients_f,3.9,2.3,4.0,1.9,3.1,1.1,3.5,3.6,3.3,2.6,2.1,2.9,0.1,3.5,,,,,,,,,,,
pesticides_f,0.7,0.1,3.2,4.0,3.2,1.1,0.2,2.1,3.7,0.7,0.9,3.9,1.6,2.1,,,,,,,,,,,
isa_f,0.9,2.3,1.3,0.9,2.9,2.7,1.7,1.6,1.2,1.2,0.4,2.4,0.8,2.4,,,,,,,,,,,
pop_f,0.2,0.5,0.4,1.2,1.4,0.0,2.8,1.0,0.2,2.4,3.2,0.2,3.7,0.7,,,,,,,,,,,
fish3_f,0.2,0.5,0.9,1.9,2.0,3.6,1.1,3.1,0.4,1.8,2.1,0.5,2.1,0.7,,,,,,,,,,,
fish5_f,2.3,2.8,0.4,0.1,3.3,3.1,2.3,3.1,1.3,3.8,1.8,2.1,0.1,0.9,,,,,,,,,,,
fish4_f,0.6,2.1,2.0,1.6,2.1,3.5,2.6,2.9,1.0,1.3,0.7,0.9,3.9,1.6,,,,,,,,,,,
fish2_f,2.5,2.5,1.1,1.9,1.4,3.5,3.5,3.6,0.6,3.2,0.8,3.9,1.0,0.3,,,,,,,,,,,
fish1_f,0.5,1.0,0.1,3.9,0.5,0.3,2.2,1.3,4.0,2.6,1.0,1.0,2.6,0.3,,,,,,,,,,,
artisanal_f,1.3,3.2,0.6,0.3,2.7,0.3,3.6,2.7,0.3,3.3,3.2,0.1,2.9,3.6,,,,,,,,,,,
sst_norm,1.2,3.8,1.3,3.4,0.1,1.8,0.7,0.9,0.1,1.7,1.0,3.6,0.0,3.2,,,,,,,,,,,
uv_norm,1.9,1.6,0.9,3.7,1.6,3.9,0.4,0.9,0.8,1.6,2.8,3.7,3.5,2.4,,,,,,,,,,,
invasives_f,2.0,0.6,0.7,1.2,3.4,1.5,0.3,2.1,0.5,2.9,1.7,1.3,0.6,2.7,,,,,,,,,,,
pollution_f,3.8,1.5,1.7,1.2,3.3,1.8,1.2,3.3,3.6,3.4,3.2,0.3,0.7,2.0,,,,,,,,,,,
shipping_f,2.3,1.0,0.8,3.5,3.8,1.3,3.7,1.1,2.2,3.7,3.2,3.1,2.2,1.9,,,,,,,,,,,
flares_f,1.2,0.7,0.5,3.8,0.2,2.6,2.8,0.2,3.4,1.8,2.9,1.3,1.1,1.4,
