,habitat_mgroves,habitat_coral,habitat_seagrass,habitat_h0to60,habitat_s0to60,habitat_s60to200,habitat_h60to200,habitat_s200to2000,habitat_h200to2000,habitat_s2000p,habitat_h2000p,habitat_seamounts,habitat_pelagic,habitat_pdeep
threat_fert,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_pest,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_impv,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_pop,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_fish3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_fish5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_fish4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_fish2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_fish1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_artisanal,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_sst,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_uv,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_invasives,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_pollution,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_shipping,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_flares,1,1,1,1,1,1,1,1,1,1,1,1,1,1
threat_acid,1,1,1,1,1,1,1,1,1,1,1,1,1,1
